,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
10798,20600939,0,1610612748,MIA,Miami,54,8,11,16,12,6,0,5,10,9,1610612764,WAS,Washington,36,15,13,12,0,14,10,18
10799,20600943,0,1610612753,ORL,Orlando,58,11,14,3,1,0,1,15,13,15,1610612766,CHA,Charlotte,32,11,16,21,1,14,10,11
10800,20600945,0,1610612763,MEM,Memphis,42,9,13,5,6,7,2,15,8,18,1610612751,NJN,New Jersey,48,19,15,18,1,11,9,13
10801,20600946,0,1610612745,HOU,Houston,38,9,2,2,1,3,0,9,7,9,1610612756,PHX,Phoenix,38,9,9,21,1,11,9,9
10802,20600947,0,1610612742,DAL,Dallas,40,25,17,2,4,7,0,23,8,26,1610612744,GSW,Golden State,60,12,20,31,1,15,9,17
10803,20600952,0,1610612746,LAC,Los Angeles,40,6,10,5,5,3,0,13,9,22,1610612759,SAS,San Antonio,36,7,9,12,1,12,5,12
10804,20600953,0,1610612750,MIN,Minnesota,30,16,11,8,8,4,0,11,7,14,1610612754,IND,Indiana,20,7,13,14,1,20,11,20
10805,20600949,0,1610612758,SAC,Sacramento,42,12,18,5,10,6,0,15,9,20,1610612739,CLE,Cleveland,44,14,16,24,1,20,7,20
10806,20600951,0,1610612751,NJN,New Jersey,36,8,16,13,0,3,0,14,11,18,1610612740,NOK,New Orleans/Oklahoma City,40,25,13,0,0,14,7,12
10807,20600955,0,1610612757,POR,Portland,56,20,19,2,6,3,1,19,13,22,1610612743,DEN,Denver,50,22,24,18,0,15,3,18
10808,20600956,0,1610612760,SEA,Seattle,32,8,16,5,6,7,0,21,7,29,1610612765,DET,Detroit,50,5,19,12,2,13,6,10
10809,20600954,0,1610612738,BOS,Boston,42,2,12,5,16,7,1,15,13,11,1610612741,CHI,Chicago,50,15,10,8,0,13,15,18
10810,20600948,0,1610612755,PHI,Philadelphia,30,8,8,2,1,1,0,15,5,17,1610612737,ATL,Atlanta,46,22,7,29,0,17,10,21
10811,20600963,0,1610612739,CLE,Cleveland,58,17,11,36,1,4,0,9,8,13,1610612763,MEM,Memphis,54,18,12,3,0,14,11,16
10812,20600962,0,1610612738,BOS,Boston,48,15,23,27,2,3,0,17,7,14,1610612737,ATL,Atlanta,32,9,9,4,1,21,9,18
10813,20600965,0,1610612756,PHX,Phoenix,66,11,15,16,7,6,0,19,10,14,1610612742,DAL,Dallas,44,28,16,16,1,19,7,19
10814,20600957,0,1610612752,NYK,New York,28,11,12,10,5,5,1,20,8,18,1610612761,TOR,Toronto,26,9,10,13,1,18,2,19
10815,20600961,0,1610612754,IND,Indiana,32,4,11,7,5,3,1,17,5,19,1610612764,WAS,Washington,40,8,16,19,1,13,6,16
10816,20600960,0,1610612753,ORL,Orlando,54,16,26,22,7,4,0,22,7,15,1610612762,UTA,Utah,36,20,11,6,0,22,5,27
10817,20600967,0,1610612748,MIA,Miami,44,9,4,11,10,9,1,9,9,10,1610612751,NJN,New Jersey,24,9,15,4,0,10,9,13
10818,20600968,0,1610612749,MIL,Milwaukee,50,13,7,11,5,8,2,20,7,20,1610612759,SAS,San Antonio,30,2,5,4,2,11,9,8
