,PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,first_name,last_name,lower body injury
0,Aaron Gordon,19-20,19.5,24,80,235,62,32.5,0.205,99.72,4182,12.4,4.8,2,1.7,2.43,4.2,3.5,1.1,53,29.4,2.88,1.91,1.8,3.2,4.3,,,,,,,,,0,,,0,,,Aaron,Gordon,0
2,Abdel Nader,19-20,19.5,26,77,225,55,15.8,0.164,101.79,1835,4.8,3,1.3,1.1,1.22,4.32,0.6,0.1,15.6,11.1,2.05,1.41,0.2,0,0.4,Thunder,2020-01-15,2020-01-29,14,Sprained_ankle,2020-01-14,Thunder,sprained left ankle (DTD),0,ankle,Leg,1,2020,1,Abdel,Nader,0
4,Abdel Nader,19-20,19.5,26,77,225,55,15.8,0.164,101.79,1835,4.8,3,1.3,1.1,1.22,4.32,0.6,0.1,15.6,11.1,2.05,1.41,0.2,0,0.4,Thunder,2020-01-15,2020-01-29,14,Sprained_ankle,2020-08-14,Thunder,placed on IL with neck injury,0,neck,Head,1,2020,8,Abdel,Nader,0
5,Adam Mokoka,19-20,19.5,21,77,190,11,10.2,0.11,100.37,238,2.5,1.1,0.6,0.4,0.79,4.24,0,0,10.2,7.1,1.47,0.83,0.2,0,0.8,,,,,,,,,0,,,0,,,Adam,Mokoka,0
6,Admiral Schofield,19-20,19.5,23,77,241,33,11.2,0.118,103.13,791,2.8,0.4,0.1,0.2,0.82,4.19,0.2,0.1,15.7,8.3,1.4,0.51,0.2,0.2,0.6,,,,,,,,,0,,,0,,,Admiral,Schofield,0
7,Al Horford,19-20,19.5,34,81,240,67,30.2,0.173,100.63,4241,10.6,1.4,0.6,0.6,2.09,3.95,0.9,0.2,55.1,35.9,1.81,0.63,5.2,4.3,3.7,76ers,2020-08-11,2020-08-12,1,Sore_knee,2019-12-12,76ers,sore left knee (DTD),0,knee,Leg,1,2019,12,Al,Horford,0
19,Al-Farouq Aminu,19-20,19.5,29,80,220,18,21.1,0.127,100.15,797,4.8,2.3,0.8,1.1,1.66,4.39,0.2,0.1,36.3,16.3,1.91,0.88,0.7,1,1.9,,,,,,,,,0,,,0,,,Al-Farouq,Aminu,0
20,Alec Burks,19-20,19.5,28,78,214,66,26.6,0.23,101.88,3729,11.6,6.6,3.3,1.8,1.93,4.12,5.1,2.5,51.8,28.4,3.55,2.92,0.7,0.4,1,Warriors,2019-10-24,2019-10-30,6,Sprained_ankle,2019-10-24,Warriors,placed on IL with sprained right ankle,0,ankle,Leg,1,2019,10,Alec,Burks,0
21,Alen Smailagic,19-20,19.5,19,82,215,14,9.9,0.175,104.89,304,2.9,1.6,0.6,0.4,0.78,4.39,0.1,0,13.8,8.6,2.27,1.02,0.4,1.3,1.4,,,,,,,,,0,,,0,,,Alen,Smailagic,0
22,Alex Caruso,19-20,19.5,26,77,186,64,18.4,0.136,102.84,2518,4.5,3.2,1.3,1.3,1.41,4.29,1,0.5,31.2,13.5,3.45,2.85,0.4,0,0.8,,,,,,,,,0,,,0,,,Alex,Caruso,0
23,Alex Len,19-20,19.5,27,84,250,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1,0,31.2,17,1.52,0.52,2.3,0.8,5.4,Hawks,2020-01-14,2020-01-22,8,Sore_lower_back,2019-12-27,Hawks,placed on IL with sprained left ankle,0,ankle,Leg,1,2019,12,Alex,Len,0
24,Alex Len,19-20,19.5,27,84,250,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1,0,31.2,17,1.52,0.52,2.3,0.8,5.4,Hawks,2020-01-14,2020-01-22,8,Sore_lower_back,2020-01-14,Hawks,placed on IL with sore lower back,0,back,Back,1,2020,1,Alex,Len,0
25,Alex Len,19-20,19.5,27,84,250,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1,0,31.2,17,1.52,0.52,2.3,0.8,5.4,Hawks,2020-01-14,2020-01-22,8,Sore_lower_back,2020-01-25,Hawks,right hip flexor injury (DTD),0,hip and flexor,Others,1,2020,1,Alex,Len,0
31,Alfonzo McKinnie,19-20,19.5,27,79,215,40,14.8,0.147,101.43,1254,4.3,1.5,1,0.3,1.15,4.41,0.6,0.2,17.2,9.3,1.77,0.91,0.3,0.1,1.5,,,,,,,,,0,,,0,,,Alfonzo,McKinnie,0
32,Alize Johnson,19-20,19.5,24,79,212,17,6.9,0.133,105.6,260,1.7,0.9,0.4,0.4,0.52,4.51,0.2,0,9.5,4.6,1.84,0.71,0.3,0.1,1.2,,,,,,,,,0,,,0,,,Alize,Johnson,0
33,Allen Crabbe,19-20,19.5,28,77,212,37,17.6,0.122,106.22,1443,4.8,1.6,0.7,0.6,1.31,4.13,1,0.4,19.1,13.5,1.43,0.57,0.2,0,0.4,,,,,,,,,0,,,0,,,Allen,Crabbe,0
34,Allonzo Trier,19-20,19.5,24,76,200,24,12.1,0.208,102.19,618,4.4,3.1,0.9,1.6,0.91,4.18,2.2,1.1,19.3,11.3,3.98,3.3,0.2,0,0.2,,,,,,,,,0,,,0,,,Allonzo,Trier,0
35,Amile Jefferson,19-20,19.5,27,81,222,18,4.1,0.129,101.71,160,0.8,0.2,0.1,0,0.32,4.45,0.1,,6.2,2.7,1.89,0.62,0.2,0.2,0.8,,,,,,,,,0,,,0,,,Amile,Jefferson,0
36,Amir Coffey,19-20,19.5,23,79,210,18,8.8,0.174,104.61,345,3,1.8,1.1,0.6,0.65,4.09,0.8,0.3,11.1,6.4,3.6,2.88,0.1,0,0.3,,,,,,,,,0,,,0,,,Amir,Coffey,0
37,Andre Drummond,19-20,19.5,26,82,279,57,33,0.253,98.8,3867,13.8,3.5,1.8,0.8,2.26,3.86,0.4,0.1,63.9,36.5,2.33,1.32,5.5,4.7,11.7,,,,,,,,,0,,,0,,,Andre,Drummond,0
38,Andre Iguodala,19-20,19.5,36,78,215,21,19.9,0.121,103.94,902,4.2,1.1,0.3,0.7,1.51,4.21,0.8,0.2,30.8,16,2.76,1.71,0.9,0.7,1.7,,,,,,,,,0,,,0,,,Andre,Iguodala,0
39,Andre Roberson,19-20,19.5,28,79,210,7,12.4,0.145,104.59,189,4.1,0.9,0.6,0.3,0.99,4.4,0.3,0.3,15.9,9.9,1.76,0.87,0.1,0.1,1.4,Thunder,2019-10-23,2020-07-31,282,Knee_injury,2019-10-22,Thunder,left knee injury (out indefinitely),1,knee,Leg,1,2019,10,Andre,Roberson,0
40,Andre Roberson,19-20,19.5,28,79,210,7,12.4,0.145,104.59,189,4.1,0.9,0.6,0.3,0.99,4.4,0.3,0.3,15.9,9.9,1.76,0.87,0.1,0.1,1.4,Thunder,2019-10-23,2020-07-31,282,Knee_injury,2019-10-23,Thunder,placed on IL with left knee injury,0,knee,Leg,1,2019,10,Andre,Roberson,0
41,Andre Roberson,19-20,19.5,28,79,210,7,12.4,0.145,104.59,189,4.1,0.9,0.6,0.3,0.99,4.4,0.3,0.3,15.9,9.9,1.76,0.87,0.1,0.1,1.4,Thunder,2019-10-23,2020-07-31,282,Knee_injury,2020-08-09,Thunder,placed on IL with sore right ankle,0,ankle,Leg,1,2020,8,Andre,Roberson,0
42,Andrew Wiggins,19-20,19.5,25,79,197,54,34.4,0.269,103.46,4008,18.1,14.1,6.9,4.7,2.51,4.07,6,2.4,65.7,41,3.7,2.94,0.8,1,2.3,,,,,,,,,0,,,0,,,Andrew,Wiggins,0
43,Anfernee Simons,19-20,19.5,21,75,181,70,20.7,0.18,103.09,3106,7.7,3.7,2.2,0.8,1.63,4.4,3.2,1.2,30.5,13.4,3.88,3.36,0.2,0,0.5,,,,,,,,,0,,,0,,,Anfernee,Simons,0
44,Ante Zizic,19-20,19.5,23,82,266,22,10,0.168,101.71,471,3.3,0,0,0,0.73,4.04,0,,13.8,7.7,1.63,0.48,1.7,1.2,3.7,,,,,,,,,0,,,0,,,Ante,Zizic,0
45,Anthony Davis,19-20,19.5,27,82,253,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5,Sore_knee,2019-11-13,Lakers,placed on IL with sore right shoulder,0,shoulder,Upper Body,1,2019,11,Anthony,Davis,0
46,Anthony Davis,19-20,19.5,27,82,253,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5,Sore_knee,2019-12-17,Lakers,placed on IL with sprained right ankle,0,ankle,Leg,1,2019,12,Anthony,Davis,0
47,Anthony Davis,19-20,19.5,27,82,253,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5,Sore_knee,2020-01-10,Lakers,placed on IL with bruised tailbone,0,tailbone and tailbone,Others,1,2020,1,Anthony,Davis,0
48,Anthony Davis,19-20,19.5,27,82,253,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5,Sore_knee,2020-03-01,Lakers,sore right knee (DTD),0,knee,Leg,1,2020,3,Anthony,Davis,0
50,Anthony Davis,19-20,19.5,27,82,253,62,34.4,0.284,102.47,4556,17.7,3.6,1.8,0.8,2.28,3.73,3.6,0.3,64.1,42,2.34,1.11,3.3,8.8,7.4,Lakers,2020-08-13,2020-08-18,5,Sore_knee,2020-08-25,Lakers,back spasms (DTD),0,back,Back,1,2020,8,Anthony,Davis,0
63,Anthony Tolliver,19-20,19.5,35,80,240,55,15.9,0.108,103.58,1886,3.3,0.4,0.2,0.1,1.17,4.12,0.2,0.1,19,10.5,1.39,0.31,0.5,0.1,0.9,,,,,,,,,0,,,0,,,Anthony,Tolliver,0
64,Antonius Cleveland,19-20,19.5,26,77,195,11,4.2,0.159,101.8,95,1.3,0.7,0.5,0.1,0.3,4.15,0.3,0,4.3,2.4,2.4,1.74,0.1,0,0.4,,,,,,,,,0,,,0,,,Antonius,Cleveland,0
65,Anzejs Pasecniks,19-20,19.5,24,86,229,27,16.2,0.151,104.65,950,4.3,0.2,0.1,0,1.25,4.33,0,0,28.4,16.2,1.45,0.4,1.7,0.4,4,,,,,,,,,0,,,0,,,Anzejs,Pasecniks,0
66,Aron Baynes,19-20,19.5,33,82,260,42,22.2,0.205,103.02,1998,9.1,0.5,0.3,0.1,1.56,3.95,0.2,0,35.9,23.4,1.44,0.33,2.7,1.2,5.2,,,,,,,,,0,,,0,,,Aron,Baynes,0
67,Austin Rivers,19-20,19.5,27,75,200,68,23.4,0.153,105.87,3512,7.4,5.3,2.6,1.8,1.65,3.94,1.6,1.4,31.8,17.1,3.33,2.74,0.2,0,0.4,,,,,,,,,0,,,0,,,Austin,Rivers,0
68,Avery Bradley,19-20,19.5,29,75,180,49,24.2,0.153,103.08,2546,7.8,1.8,0.8,0.7,1.88,4.36,2.2,0.4,28.5,19.1,2.13,1.62,0.4,0,1.2,,,,,,,,,0,,,0,,,Avery,Bradley,0
69,BJ Johnson,19-20,19.5,24,79,200,10,8.3,0.201,108.13,189,3.2,0.8,0.5,0,0.66,4.42,1.4,0.1,8.4,5.5,3.12,2.13,0.2,0,0.5,,,,,,,,,0,,,0,,,BJ,Johnson,0
70,Bam Adebayo,19-20,19.5,22,81,255,72,33.6,0.212,98.36,4952,11,4.4,2.1,1.2,2.41,4.02,1.1,0.1,65.6,39.7,2.73,1.46,7.8,3.2,7.9,Heat,2020-08-14,2020-08-18,4,Sore_knee,2020-08-14,Heat,placed on IL with sore right knee,0,knee,Leg,1,2020,8,Bam,Adebayo,0
71,Bam Adebayo,19-20,19.5,22,81,255,72,33.6,0.212,98.36,4952,11,4.4,2.1,1.2,2.41,4.02,1.1,0.1,65.6,39.7,2.73,1.46,7.8,3.2,7.9,Heat,2020-08-14,2020-08-18,4,Sore_knee,2020-09-30,Heat,strained left shoulder (DTD),0,shoulder,Upper Body,1,2020,9,Bam,Adebayo,0
72,Bam Adebayo,19-20,19.5,22,81,255,72,33.6,0.212,98.36,4952,11,4.4,2.1,1.2,2.41,4.02,1.1,0.1,65.6,39.7,2.73,1.46,7.8,3.2,7.9,Heat,2020-08-14,2020-08-18,4,Sore_knee,2020-10-02,Heat,strained neck (DTD),0,neck,Head,1,2020,10,Bam,Adebayo,0
73,Ben McLemore,19-20,19.5,27,75,195,71,22.8,0.157,105.17,3552,7.7,1.1,0.4,0.4,1.71,4.28,0.9,0.9,26.3,15.8,1.37,0.55,0.5,0,0.7,,,,,,,,,0,,,0,,,Ben,McLemore,0
74,Ben Simmons,19-20,19.5,23,82,240,57,35.4,0.206,101.09,4242,11.4,11.9,3.8,6.4,2.53,4.01,0.7,0.1,90.5,30,4.66,3.75,2.9,3.6,5.7,,,,,,,,,0,,,0,,,Ben,Simmons,0
75,Bismack Biyombo,19-20,19.5,27,80,255,53,19.4,0.168,96.39,2059,5.2,0,0,0,1.43,4.17,0.1,,33.3,18.7,1.44,0.31,2.6,0.6,7.1,,,,,,,,,0,,,0,,,Bismack,Biyombo,0
76,Blake Griffin,19-20,19.5,31,81,250,18,28.5,0.277,98.24,1049,13.9,6.2,3,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3,Sore_knee,2019-10-22,Pistons,left hamstring injury (out indefinitely),1,hamstring,Leg,1,2019,10,Blake,Griffin,0
77,Blake Griffin,19-20,19.5,31,81,250,18,28.5,0.277,98.24,1049,13.9,6.2,3,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3,Sore_knee,2019-10-23,Pistons,placed on IL with left hamstring injury,0,hamstring,Leg,1,2019,10,Blake,Griffin,0
79,Blake Griffin,19-20,19.5,31,81,250,18,28.5,0.277,98.24,1049,13.9,6.2,3,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3,Sore_knee,2019-12-16,Pistons,sore left knee (DTD),0,knee,Leg,1,2019,12,Blake,Griffin,0
82,Blake Griffin,19-20,19.5,31,81,250,18,28.5,0.277,98.24,1049,13.9,6.2,3,1.6,1.86,3.68,4.1,3.2,62.3,40.8,2.74,1.93,0.9,4.1,2.3,Pistons,2019-12-20,2019-12-23,3,Sore_knee,2020-01-07,Pistons,surgery on left knee (out indefinitely),1,knee,Leg,1,2020,1,Blake,Griffin,0
92,Boban Marjanovic,19-20,19.5,31,88,290,44,9.6,0.258,101.49,892,4.8,0,0,0,0.68,3.98,0.5,0,17.3,10.6,1.6,0.45,1.3,2.2,4.3,,,,,,,,,0,,,0,,,Boban,Marjanovic,0
93,Bobby Portis,19-20,19.5,25,82,250,66,21.1,0.207,101.25,2959,8.9,1.7,1.1,0.3,1.55,4.12,1.4,0.1,40.6,23.5,1.74,0.73,1.3,3,2.6,,,,,,,,,0,,,0,,,Bobby,Portis,0
94,Bogdan Bogdanovic,19-20,19.5,27,78,220,61,28.9,0.221,99.24,3659,12.6,6.7,2.9,2.9,2.24,4.3,4.1,1.9,48.4,30.8,3.27,2.37,0.3,0.3,0.8,,,,,,,,,0,,,0,,,Bogdan,Bogdanovic,0
95,Bojan Bogdanovic,19-20,19.5,31,80,226,63,33.1,0.252,99.45,4328,14.8,9.1,4.6,2.8,2.42,4.11,4.1,2.3,44.4,35.8,2.54,1.89,0.4,1,0.9,Jazz,2019-10-25,2019-10-26,1,Sprained_ankle,2019-10-25,Jazz,placed on IL with sprained left ankle,0,ankle,Leg,1,2019,10,Bojan,Bogdanovic,0
96,Bojan Bogdanovic,19-20,19.5,31,80,226,63,33.1,0.252,99.45,4328,14.8,9.1,4.6,2.8,2.42,4.11,4.1,2.3,44.4,35.8,2.54,1.89,0.4,1,0.9,Jazz,2019-10-25,2019-10-26,1,Sprained_ankle,2020-05-18,Jazz,surgery on right wrist (out for season),1,wrist,Hand,1,2020,5,Bojan,Bogdanovic,0
97,Bol Bol,19-20,19.5,20,86,220,7,12.4,0.206,98.55,177,4,0.9,0.6,0.1,0.93,4.14,0.6,0.1,14.1,9,1.93,1.03,0.1,0.4,2,,,,,,,,,0,,,0,,,Bol,Bol,0
98,Brad Wanamaker,19-20,19.5,30,75,210,71,19.3,0.152,101.46,2888,5.1,3.9,1.7,1.4,1.39,4.04,1.6,0.6,38.7,14,4.21,3.93,0.3,0,0.5,,,,,,,,,0,,,0,,,Brad,Wanamaker,0
99,Bradley Beal,19-20,19.5,27,75,207,57,36,0.338,103.64,4432,22.9,16.1,7.6,5.1,2.69,4.18,9.3,3.9,79,54.4,3.43,2.91,0.9,0.5,1.4,,,,,,,,,0,,,0,,,Bradley,Beal,0
100,Brandon Clarke,19-20,19.5,23,80,215,58,22.4,0.18,106.13,2866,8.3,1.5,1,0.3,1.77,4.4,0.9,0,39.1,22.7,1.43,0.62,3.1,0.5,5.6,,,,,,,,,0,,,0,,,Brandon,Clarke,0
101,Brandon Goodwin,19-20,19.5,24,72,180,34,12.7,0.22,104.54,938,5.6,4.4,1.6,2.2,1,4.38,1.7,0.9,28.2,10.6,4.77,4.36,0.2,0,0.4,,,,,,,,,0,,,0,,,Brandon,Goodwin,0
102,Brandon Ingram,19-20,19.5,22,79,190,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8,1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Pelicans,2020-01-13,2020-01-16,3,Sore_knee,2019-11-11,Pelicans,sore right knee (DTD),0,knee,Leg,1,2019,11,Brandon,Ingram,0
104,Brandon Ingram,19-20,19.5,22,79,190,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8,1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Pelicans,2020-01-13,2020-01-16,3,Sore_knee,2020-02-08,Pelicans,sprained right ankle (DTD),0,ankle,Leg,1,2020,2,Brandon,Ingram,0
105,Brandon Ingram,19-20,19.5,22,79,190,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8,1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Pelicans,2020-01-13,2020-01-16,3,Sore_knee,2020-08-10,Pelicans,sore right knee (out for season),1,knee,Leg,1,2020,8,Brandon,Ingram,0
114,Brandon Knight,19-20,19.5,28,74,182,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0,0,0.2,Pistons,2020-02-07,2020-02-10,3,Sore_knee,2020-02-07,Pistons,placed on IL with sore left knee,0,knee,Leg,1,2020,2,Brandon,Knight,0
115,Brandon Knight,19-20,19.5,28,74,182,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0,0,0.2,Pistons,2020-02-07,2020-02-10,3,Sore_knee,2020-03-08,Pistons,strained right hamstring (DTD),0,hamstring,Leg,1,2020,3,Brandon,Knight,0
116,Brandon Knight,19-20,19.5,28,74,182,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0,0,0.2,Cavaliers,2020-01-17,2020-02-04,18,Sore_knee,2019-11-20,Cavaliers,placed on IL with sprained right ankle,0,ankle,Leg,1,2019,11,Brandon,Knight,0
117,Brandon Knight,19-20,19.5,28,74,182,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3,2.7,35.6,14.2,4.72,4.73,0,0,0.2,Cavaliers,2020-01-17,2020-02-04,18,Sore_knee,2020-01-17,Cavaliers,placed on IL with sore left knee,0,knee,Leg,1,2020,1,Brandon,Knight,0
120,Brian Bowen II,19-20,19.5,21,78,190,6,5.2,0.143,98.11,65,1.7,0.2,0.2,0,0.41,4.35,0.2,0,4.8,3.2,2.17,1.24,0,0.2,0.5,,,,,,,,,0,,,0,,,Brian,Bowen II,0
121,Brook Lopez,19-20,19.5,32,84,282,68,26.7,0.181,106.6,4054,9.9,1.3,0.8,0.1,1.88,3.98,1,0.1,33.6,22,1.48,0.44,1.6,2.8,3,,,,,,,,,0,,,0,,,Brook,Lopez,0
122,Bruce Brown,19-20,19.5,23,76,202,58,28.2,0.159,98,3339,7.7,8.5,3.1,4.1,2.16,4.29,0.5,0.1,55.9,22.5,4.53,4.12,0.6,0.1,2.2,Pistons,2020-03-04,2020-03-06,2,Sore_knee,2019-12-23,Pistons,placed on IL with calf injury,0,calf,Leg,1,2019,12,Bruce,Brown,0
123,Bruce Brown,19-20,19.5,23,76,202,58,28.2,0.159,98,3339,7.7,8.5,3.1,4.1,2.16,4.29,0.5,0.1,55.9,22.5,4.53,4.12,0.6,0.1,2.2,Pistons,2020-03-04,2020-03-06,2,Sore_knee,2020-01-22,Pistons,placed on IL with illness,0,other,Others,1,2020,1,Bruce,Brown,0
124,Bruce Brown,19-20,19.5,23,76,202,58,28.2,0.159,98,3339,7.7,8.5,3.1,4.1,2.16,4.29,0.5,0.1,55.9,22.5,4.53,4.12,0.6,0.1,2.2,Pistons,2020-03-04,2020-03-06,2,Sore_knee,2020-02-25,Pistons,sore left knee (DTD),0,knee,Leg,1,2020,2,Bruce,Brown,0
126,Bruce Brown,19-20,19.5,23,76,202,58,28.2,0.159,98,3339,7.7,8.5,3.1,4.1,2.16,4.29,0.5,0.1,55.9,22.5,4.53,4.12,0.6,0.1,2.2,Pistons,2020-03-04,2020-03-06,2,Sore_knee,2020-03-11,Pistons,sprained right ankle (out for season),1,ankle,Leg,1,2020,3,Bruce,Brown,0
127,Bruno Caboclo,19-20,19.5,24,81,218,30,8.1,0.17,108.49,550,3,0.6,0.3,0.2,0.63,4.49,0.3,0.1,12.7,7.4,1.55,0.63,0.9,0.2,1.6,Rockets,2020-07-31,2020-08-09,9,Sprained_ankle,2020-07-31,Rockets,placed on IL with sprained right ankle,0,ankle,Leg,1,2020,7,Bruno,Caboclo,0
129,Bruno Fernando,19-20,19.5,21,81,240,56,12.7,0.147,103.78,1537,3.6,0.4,0.2,0.1,0.97,4.27,0.3,0.1,22.2,12.5,1.52,0.53,1.3,0.5,3.5,,,,,,,,,0,,,0,,,Bruno,Fernando,0
130,Bryn Forbes,19-20,19.5,26,74,205,63,25.1,0.185,100.41,3307,9.2,2.8,1.2,1.2,1.94,4.35,3,1.4,28,21.8,2.16,1.33,0.1,0,0.2,,,,,,,,,0,,,0,,,Bryn,Forbes,0
131,Buddy Hield,19-20,19.5,27,76,220,72,30.8,0.263,100.92,4676,16.1,5.3,2.2,2.5,2.47,4.46,7.6,4.3,54.9,31.4,3.27,2.69,0.4,0,1.2,,,,,,,,,0,,,0,,,Buddy,Hield,0
132,CJ McCollum,19-20,19.5,28,75,190,70,36.5,0.257,101.47,5398,19.4,10.6,6.4,2.8,2.78,4.3,9.8,3.8,65.5,27.3,4.64,4.08,0.3,0,0.9,Blazers,2020-01-18,2020-01-26,8,Sprained_ankle,,,,0,,,0,,,CJ,McCollum,0
133,CJ Miles,19-20,19.5,33,78,220,10,16.1,0.169,109.54,366,5.9,1.6,0.8,0.3,1.15,3.94,1.2,0.6,16.8,12.9,1.57,1.02,0.4,0,0.5,,,,,,,,,0,,,0,,,CJ,Miles,0
134,Caleb Martin,19-20,19.5,24,77,205,18,17.6,0.152,95.85,633,4.7,2.6,0.9,0.9,1.41,4.51,0.7,0.4,21.7,16.6,2.22,1.31,0.3,0.2,1,,,,,,,,,0,,,0,,,Caleb,Martin,0
135,Caleb Swanigan,19-20,19.5,23,81,260,27,10.7,0.132,104.23,624,1.7,0.1,0.1,0,0.83,4.36,0.1,0,14.9,8.2,1.87,0.68,1.2,0.6,2,,,,,,,,,0,,,0,,,Caleb,Swanigan,0
136,Cam Reddish,19-20,19.5,20,80,218,58,26.7,0.185,105.58,3398,9.6,5,2.6,1.4,2.11,4.38,2.4,0.8,30.9,18.5,2.82,2.12,0.3,0,0.8,Hawks,2020-03-02,2020-03-06,4,Sore_lower_back,2019-11-22,Hawks,placed on IL with sprained left wrist,0,wrist,Hand,1,2019,11,Cam,Reddish,0
139,Cam Reddish,19-20,19.5,20,80,218,58,26.7,0.185,105.58,3398,9.6,5,2.6,1.4,2.11,4.38,2.4,0.8,30.9,18.5,2.82,2.12,0.3,0,0.8,Hawks,2020-03-02,2020-03-06,4,Sore_lower_back,2020-02-02,Hawks,concussion (DTD),0,concussion,Head,1,2020,2,Cam,Reddish,0
141,Cam Reddish,19-20,19.5,20,80,218,58,26.7,0.185,105.58,3398,9.6,5,2.6,1.4,2.11,4.38,2.4,0.8,30.9,18.5,2.82,2.12,0.3,0,0.8,Hawks,2020-03-02,2020-03-06,4,Sore_lower_back,2020-03-02,Hawks,sore lower back (DTD),0,back,Back,1,2020,3,Cam,Reddish,0
142,Cameron Johnson,19-20,19.5,24,80,210,57,22,0.151,103.9,2710,7.1,1.3,0.5,0.6,1.73,4.4,0.6,0.2,25.5,16.7,1.51,0.7,0.6,0,1.2,,,,,,,,,0,,,0,,,Cameron,Johnson,0
143,Cameron Payne,19-20,19.5,25,73,183,8,22.9,0.182,104.7,398,8.5,5.3,2.9,2.1,1.82,4.46,2.8,0.6,51.9,17,4.18,3.35,0.5,0,0.8,,,,,,,,,0,,,0,,,Cameron,Payne,0
144,Caris LeVert,19-20,19.5,25,78,205,45,29.6,0.284,102.65,2839,16.3,15,7.7,4.9,2.12,4.11,6.7,3.2,55.1,28.5,4.78,4.5,1,0.6,1.7,,,,,,,,,0,,,0,,,Caris,LeVert,0
145,Carmelo Anthony,19-20,19.5,36,80,238,58,32.8,0.214,100.55,3982,13.5,1.7,1.3,0.1,2.11,3.64,5.5,0.4,40.6,25.5,2.42,1.15,1.2,5.6,1.8,,,,,,,,,0,,,0,,,Carmelo,Anthony,0
146,Carsen Edwards,19-20,19.5,22,71,200,37,9.5,0.171,105.1,765,3.5,1.3,0.6,0.5,0.72,4.36,1.5,0.9,13.5,6.9,2.84,2.38,0,0,0.1,,,,,,,,,0,,,0,,,Carsen,Edwards,0
147,Cedi Osman,19-20,19.5,25,79,230,65,29.4,0.162,100.3,3996,9.4,5.3,2.3,2.2,2.17,4.16,1.9,1,40.2,28.6,2.66,1.67,0.5,0.2,1.1,,,,,,,,,0,,,0,,,Cedi,Osman,0
148,Chandler Hutchison,19-20,19.5,24,79,210,28,18.8,0.183,105.15,1151,6.3,5.6,2.6,1.9,1.5,4.45,0.3,0,25.1,14,2.38,1.58,0.8,0,1.5,,,,,,,,,0,,,0,,,Chandler,Hutchison,0
149,Chandler Parsons,19-20,19.5,31,81,230,5,10.8,0.15,112.87,126,3.6,1,0.2,0.6,0.79,4.08,0.2,0.2,17,12.4,1.71,0.7,0,0,0.4,,,,,,,,,0,,,0,,,Chandler,Parsons,0
