,PLAYER_NAME,SEASON,SEASON_NUM,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURED_TYPE,Date,Team,Notes,Out Indefinitely,injury_type,body_part,Injured,year,month,first_name,last_name,lower body injury
3973,Omer Asik,16-17,16.5,30,84,255,31,15.6,0.086,99.76,1001,2.1,0,0,0,1.07,4.15,0,,22.5,10.3,1.27,0.23,1,0.2,3.8,,,,,,,,,0,,,0,,,Omer,Asik,0
3974,Omri Casspi,16-17,16.5,29,81,225,36,17.8,0.138,97.02,1292,4.6,1.7,0.9,0.3,1.28,4.3,0.3,0.2,31.2,17.8,1.57,0.57,0.8,0.2,2.4,,,,,,,,,0,,,0,,,Omri,Casspi,0
3975,Otto Porter Jr.,16-17,16.5,24,80,198,80,32.6,0.147,99.37,5401,10,1.5,0.8,0.4,2.39,4.42,1.8,0.2,40.9,24,1.75,0.67,1.1,0.2,2.5,,,,,,,,,0,,,0,,,Otto,Porter Jr.,0
3976,P.J. Tucker,16-17,16.5,32,78,245,81,27.6,0.111,99.05,4610,6,1.6,0.9,0.4,1.86,4.05,0.5,0.1,38.1,23.2,1.67,0.7,0.7,0.7,2.4,Raptors,2017-04-02,2017-04-04,2,Sore_knee,2017-04-02,Raptors,placed on IL with sore left knee,0,knee,Leg,1,2017,4,P.J.,Tucker,0
3977,Pascal Siakam,16-17,16.5,23,81,230,55,15.6,0.129,97.08,1730,3.7,0.6,0.4,0.2,1.16,4.55,0.2,0,21.1,11,1.35,0.36,0.9,0.3,2.9,,,,,,,,,0,,,0,,,Pascal,Siakam,0
3978,Pat Connaughton,16-17,16.5,24,77,210,39,8.1,0.127,98.37,652,1.8,1,0.3,0.4,0.58,4.34,0.3,0.1,10.6,7.4,2.72,1.97,0.2,0.1,0.3,,,,,,,,,0,,,0,,,Pat,Connaughton,0
3979,Patricio Garino,16-17,16.5,24,78,203,5,8.6,0.1,95.74,87,1.4,1.4,0,1.2,0.65,4.46,0.4,0,8.2,6.4,1.93,1.41,0,0,0.2,,,,,,,,,0,,,0,,,Patricio,Garino,0
3980,Patrick Beverley,16-17,16.5,28,73,185,67,30.7,0.14,100.88,4321,8.1,7.8,2.4,3.3,2.27,4.45,1.5,1,49.7,21.1,3.73,3.4,0.6,0.1,1.6,,,,,,,,,0,,,0,,,Patrick,Beverley,0
3981,Patrick McCaw,16-17,16.5,21,79,185,71,15.1,0.116,102.62,2297,3.5,1.3,0.6,0.5,1.09,4.32,0.4,0.2,19,13.4,2.19,1.43,0.3,0,0.6,Warriors,2016-10-30,2016-11-07,8,Sprained_ankle,2016-10-29,Warriors,sore left ankle (DTD),0,ankle,Leg,1,2016,10,Patrick,McCaw,0
3983,Patrick McCaw,16-17,16.5,21,79,185,71,15.1,0.116,102.62,2297,3.5,1.3,0.6,0.5,1.09,4.32,0.4,0.2,19,13.4,2.19,1.43,0.3,0,0.6,Warriors,2016-10-30,2016-11-07,8,Sprained_ankle,2016-12-30,Warriors,placed on IL with flu,0,other,Others,1,2016,12,Patrick,McCaw,0
3984,Patrick McCaw,16-17,16.5,21,79,185,71,15.1,0.116,102.62,2297,3.5,1.3,0.6,0.5,1.09,4.32,0.4,0.2,19,13.4,2.19,1.43,0.3,0,0.6,Warriors,2016-10-30,2016-11-07,8,Sprained_ankle,2017-03-31,Warriors,leg cramps (DTD),0,leg and leg,Others,1,2017,3,Patrick,McCaw,0
3985,Patrick Patterson,16-17,16.5,28,81,235,65,24.6,0.123,96.48,3219,5.9,1.7,0.8,0.5,1.66,4.06,0.3,0.1,37.9,21.1,1.26,0.33,0.4,0.1,1.2,Raptors,2017-01-20,2017-01-22,2,Sore_knee,2016-12-29,Raptors,strained left knee (DTD),0,knee,Leg,1,2016,12,Patrick,Patterson,0
3991,Patty Mills,16-17,16.5,28,72,185,80,21.9,0.184,99.08,3623,7.8,2.8,0.6,1.5,1.72,4.73,3.1,1.4,51.2,21.7,3.97,4.31,0.4,0,0.4,,,,,,,,,0,,,0,,,Patty,Mills,0
3992,Pau Gasol,16-17,16.5,36,84,250,64,25.4,0.213,95.4,3236,9.4,1.4,0.9,0.2,1.72,4.09,0.7,0.1,54.7,32.9,1.63,0.41,4.7,4,4.4,,,,,,,,,0,,,0,,,Pau,Gasol,0
3993,Paul George,16-17,16.5,27,81,220,75,35.9,0.287,97,5435,18,7.5,2.9,2.4,2.5,4.17,7.1,1.7,61.8,41,3.15,2.28,1.9,2.3,1.6,Pacers,2016-11-18,2016-11-23,5,Sore_ankle,2016-11-12,Pacers,placed on IL with sprained left ankle,0,ankle,Leg,1,2016,11,Paul,George,0
3995,Paul George,16-17,16.5,27,81,220,75,35.9,0.287,97,5435,18,7.5,2.9,2.4,2.5,4.17,7.1,1.7,61.8,41,3.15,2.28,1.9,2.3,1.6,Pacers,2016-11-18,2016-11-23,5,Sore_ankle,2016-11-25,Pacers,sore back / left ankle (DTD),0,ankle and back,Others,1,2016,11,Paul,George,0
3999,Paul Millsap,16-17,16.5,32,80,246,69,34,0.241,99.39,4853,14.1,6.1,2.7,1.7,2.32,4.12,2.9,0.3,65,45.4,2.14,1.07,4.5,6.4,4.7,Hawks,2017-04-07,2017-04-09,2,Sore_knee,2016-11-30,Hawks,sore left hip (DTD),0,hip,Lower Body,1,2016,11,Paul,Millsap,1
4001,Paul Millsap,16-17,16.5,32,80,246,69,34,0.241,99.39,4853,14.1,6.1,2.7,1.7,2.32,4.12,2.9,0.3,65,45.4,2.14,1.07,4.5,6.4,4.7,Hawks,2017-04-07,2017-04-09,2,Sore_knee,2017-03-18,Hawks,tightness in left knee (DTD),0,knee,Leg,1,2017,3,Paul,Millsap,0
4004,Paul Millsap,16-17,16.5,32,80,246,69,34,0.241,99.39,4853,14.1,6.1,2.7,1.7,2.32,4.12,2.9,0.3,65,45.4,2.14,1.07,4.5,6.4,4.7,Hawks,2017-04-07,2017-04-09,2,Sore_knee,2017-04-12,Hawks,placed on IL for rest,0,other,Others,1,2017,4,Paul,Millsap,0
4005,Paul Pierce,16-17,16.5,39,79,235,25,11.1,0.145,98.13,568,2.8,1,0.3,0.4,0.68,3.71,0.7,0.1,16.7,10.1,1.86,0.65,0.1,0.4,0.2,,,,,,,,,0,,,0,,,Paul,Pierce,0
4006,Paul Zipser,16-17,16.5,23,80,210,44,19.2,0.143,97.21,1701,5,2.3,0.9,0.8,1.41,4.42,1.2,0.2,23.1,15,2.01,1.02,0.3,0.2,0.6,,,,,,,,,0,,,0,,,Paul,Zipser,0
4007,Pierre Jackson,16-17,16.5,25,70,180,9,9.4,0.222,98.39,173,4.3,3.3,1.8,0.7,0.7,4.59,1.7,0.3,23.4,8.2,5.43,5.4,0,0,0,,,,,,,,,0,,,0,,,Pierre,Jackson,0
4008,Quincy Acy,16-17,16.5,26,79,240,38,14.7,0.165,100.61,1174,4.5,1.2,0.5,0.3,1.03,4.21,0.5,0.1,23.4,14.3,1.36,0.38,0.5,0.4,1.4,,,,,,,,,0,,,0,,,Quincy,Acy,0
4009,Quinn Cook,16-17,16.5,24,74,179,14,13.4,0.192,97.56,382,4.7,3.6,1.4,1.4,1.01,4.53,2.1,0.6,32.4,11.9,4.7,4.53,0,0.1,0.1,,,,,,,,,0,,,0,,,Quinn,Cook,0
4010,RJ Hunter,16-17,16.5,23,77,185,3,3.1,0.038,99.67,19,0.3,0,0,0,0.22,4.59,0,0,3,2,2.66,1.78,0,0,0,,,,,,,,,0,,,0,,,RJ,Hunter,0
4011,Rajon Rondo,16-17,16.5,31,73,186,69,26.7,0.174,96.97,3732,8.1,8.4,2.7,3.4,1.85,4.17,2,0.3,70.6,26.7,4.47,4.03,0.9,0.2,1.3,Bulls,2016-11-15,2016-11-19,4,Sprained_ankle,2016-11-14,Bulls,sore/sprained left ankle (DTD),0,ankle,Leg,1,2016,11,Rajon,Rondo,0
4015,Rajon Rondo,16-17,16.5,31,73,186,69,26.7,0.174,96.97,3732,8.1,8.4,2.7,3.4,1.85,4.17,2,0.3,70.6,26.7,4.47,4.03,0.9,0.2,1.3,Bulls,2016-11-15,2016-11-19,4,Sprained_ankle,2017-04-06,Bulls,placed on IL with sprained right wrist,0,wrist,Hand,1,2017,4,Rajon,Rondo,0
4016,Rajon Rondo,16-17,16.5,31,73,186,69,26.7,0.174,96.97,3732,8.1,8.4,2.7,3.4,1.85,4.17,2,0.3,70.6,26.7,4.47,4.03,0.9,0.2,1.3,Bulls,2016-11-15,2016-11-19,4,Sprained_ankle,2017-04-21,Bulls,placed on IL with fractured right thumb (out for season),1,thumb and thumb,Others,1,2017,4,Rajon,Rondo,0
4029,Rakeem Christmas,16-17,16.5,25,81,250,29,7.6,0.119,99.77,457,1.5,0.1,0.1,0,0.51,4.03,0,,6.9,4.6,1.33,0.3,1,0.1,2,,,,,,,,,0,,,0,,,Rakeem,Christmas,0
4030,Ramon Sessions,16-17,16.5,31,75,190,50,16.2,0.192,100.57,1705,5.3,5.4,2.3,1.8,1.13,4.18,1.5,0.3,34.7,12.7,5.26,5.03,0.3,0,0.4,,,,,,,,,0,,,0,,,Ramon,Sessions,0
4031,Randy Foye,16-17,16.5,33,76,218,69,18.6,0.143,102.99,2757,4.7,3.5,1.1,1.5,1.3,4.18,1.3,0.9,30.3,16.6,3.74,3.06,0.1,0.1,0.2,,,,,,,,,0,,,0,,,Randy,Foye,0
